"FUND TYPE","FUND CODE","FUND DESCRIPTION","DEPARTMENT NUMBER","DEPARTMENT DESCRIPTION","APPROPRIATION AUTHORITY","APPROPRIATION AUTHORITY DESCRIPTION","APPROPRIATION ACCOUNT","APPROPRIATION ACCOUNT DESCRIPTION","2025 ORDINANCE (AMOUNT $)"
"LOCAL","0100","Corporate Fund","1","Office of the Mayor","2005","Office of the Mayor","0005","Salaries and Wages - on Payroll","$10,692,655.00"
"LOCAL","0100","Corporate Fund","1","Office of the Mayor","2005","Office of the Mayor","0039","For the Employment of Students as Trainees","$260,000.00"
"LOCAL","0100","Corporate Fund","1","Office of the Mayor","2005","Office of the Mayor","0126","Office Conveniences","$3,200.00"
"LOCAL","0100","Corporate Fund","1","Office of the Mayor","2005","Office of the Mayor","0130","Postage","$1,600.00"
"LOCAL","0100","Corporate Fund","1","Office of the Mayor","2005","Office of the Mayor","0140","For Professional and Technical Services and Other Third Party Benefit Agreements","$16,000.00"
"LOCAL","0100","Corporate Fund","1","Office of the Mayor","2005","Office of the Mayor","0149","For Software Maintenance and Licensing","$3,400.00"
"LOCAL","0100","Corporate Fund","1","Office of the Mayor","2005","Office of the Mayor","0157","Rental of Equipment and Services","$1,000.00"
"LOCAL","0100","Corporate Fund","1","Office of the Mayor","2005","Office of the Mayor","0159","Lease Purchase Agreements for Equipment and Machinery","$31,000.00"
"LOCAL","0100","Corporate Fund","1","Office of the Mayor","2005","Office of the Mayor","0162","Repair/Maintenance of Equipment","$1,500.00"
"LOCAL","0100","Corporate Fund","1","Office of the Mayor","2005","Office of the Mayor","0166","Dues, Subscriptions and Memberships","$248,023.00"
"LOCAL","0100","Corporate Fund","1","Office of the Mayor","2005","Office of the Mayor","0169","Technical Meeting Costs","$6,000.00"
"LOCAL","0100","Corporate Fund","1","Office of the Mayor","2005","Office of the Mayor","0245","Reimbursement to Travelers","$48,000.00"
"LOCAL","0100","Corporate Fund","1","Office of the Mayor","2005","Office of the Mayor","0350","Stationery and Office Supplies","$10,000.00"
"LOCAL","0100","Corporate Fund","1","Office of the Mayor","2005","Office of the Mayor","9121","For Payment of Costs Associated with Lobbyist Activities on Behalf of the City of Chicago","$200,000.00"
"LOCAL","0355","Special Events and Municipal Hotel Operators' Occupation Tax Fund","1","Office of the Mayor","2005","Office of the Mayor","0005","Salaries and Wages - on Payroll","$457,161.00"
"LOCAL","0B21","Tax Increment Financing Administration Fund","1","Office of the Mayor","2005","Office of the Mayor","0005","Salaries and Wages - on Payroll","$121,266.00"
"LOCAL","0B70","Cannabis Regulation Tax","1","Office of the Mayor","2005","Office of the Mayor","0005","Salaries and Wages - on Payroll","$387,849.00"
"LOCAL","0B70","Cannabis Regulation Tax","1","Office of the Mayor","2005","Office of the Mayor","9102","Special Programs Costs","$3,800,000.00"
"LOCAL","0B70","Cannabis Regulation Tax","1","Office of the Mayor","2005","Office of the Mayor","929B","Restoration Committee","$500,000.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0005","Salaries and Wages - on Payroll","$8,289,658.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0015","Schedule Salary Adjustments","$187,555.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0020","Overtime","$1,500.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0130","Postage","$1,635.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0138","For Professional Services for Information Technology Maintenance","$15,296.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0140","For Professional and Technical Services and Other Third Party Benefit Agreements","$339,348.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0143","Court Reporting","$52,500.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0149","For Software Maintenance and Licensing","$600,406.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0150","Publications and Reproduction - Outside Services.  To be Expended with the Prior Approval of Graphics Services","$4,750.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0152","Advertising","$5,000.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0157","Rental of Equipment and Services","$63,125.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0159","Lease Purchase Agreements for Equipment and Machinery","$129,501.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0162","Repair/Maintenance of Equipment","$1,000.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0166","Dues, Subscriptions and Memberships","$20,618.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0169","Technical Meeting Costs","$192,864.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0181","Mobile Communication Services","$22,777.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0189","Telephone - Non-Centrex Billings","$82,440.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0245","Reimbursement to Travelers","$26,496.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0270","Local Transportation","$23,510.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0320","Gasoline","$2,533.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0340","Material and Supplies","$3,001.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0348","Books and Related Material","$1,500.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0350","Stationery and Office Supplies","$19,629.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0446","For the Purchase of IT and Data Communication Hardware","$88,477.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0700","Contingencies","$97,060.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","9438","For Services Provided by the Department of Fleet and Facilities Management","$2,000.00"
"LOCAL","0200","Water Fund","3","Office of Inspector General","2005","Office of Inspector General","0005","Salaries and Wages - on Payroll","$1,284,308.00"
"LOCAL","0200","Water Fund","3","Office of Inspector General","2005","Office of Inspector General","0015","Schedule Salary Adjustments","$25,395.00"
"LOCAL","0200","Water Fund","3","Office of Inspector General","2005","Office of Inspector General","0130","Postage","$222.00"
"LOCAL","0200","Water Fund","3","Office of Inspector General","2005","Office of Inspector General","0140","For Professional and Technical Services and Other Third Party Benefit Agreements","$1,240.00"
"LOCAL","0200","Water Fund","3","Office of Inspector General","2005","Office of Inspector General","0143","Court Reporting","$9,808.00"
"LOCAL","0200","Water Fund","3","Office of Inspector General","2005","Office of Inspector General","0149","For Software Maintenance and Licensing","$44,232.00"
"LOCAL","0200","Water Fund","3","Office of Inspector General","2005","Office of Inspector General","0157","Rental of Equipment and Services","$9,456.00"
"LOCAL","0200","Water Fund","3","Office of Inspector General","2005","Office of Inspector General","0159","Lease Purchase Agreements for Equipment and Machinery","$1,295.00"
"LOCAL","0200","Water Fund","3","Office of Inspector General","2005","Office of Inspector General","0162","Repair/Maintenance of Equipment","$1,632.00"
"LOCAL","0200","Water Fund","3","Office of Inspector General","2005","Office of Inspector General","0166","Dues, Subscriptions and Memberships","$4,044.00"
"LOCAL","0200","Water Fund","3","Office of Inspector General","2005","Office of Inspector General","0169","Technical Meeting Costs","$25,433.00"
"LOCAL","0200","Water Fund","3","Office of Inspector General","2005","Office of Inspector General","0181","Mobile Communication Services","$2,968.00"
"LOCAL","0200","Water Fund","3","Office of Inspector General","2005","Office of Inspector General","0189","Telephone - Non-Centrex Billings","$10,283.00"
"LOCAL","0200","Water Fund","3","Office of Inspector General","2005","Office of Inspector General","0245","Reimbursement to Travelers","$2,420.00"
"LOCAL","0200","Water Fund","3","Office of Inspector General","2005","Office of Inspector General","0270","Local Transportation","$520.00"
"LOCAL","0200","Water Fund","3","Office of Inspector General","2005","Office of Inspector General","0320","Gasoline","$391.00"
"LOCAL","0200","Water Fund","3","Office of Inspector General","2005","Office of Inspector General","0340","Material and Supplies","$638.00"
"LOCAL","0200","Water Fund","3","Office of Inspector General","2005","Office of Inspector General","0348","Books and Related Material","$393.00"
"LOCAL","0200","Water Fund","3","Office of Inspector General","2005","Office of Inspector General","0350","Stationery and Office Supplies","$2,725.00"
"LOCAL","0200","Water Fund","3","Office of Inspector General","2005","Office of Inspector General","0700","Contingencies","$1,215.00"
"LOCAL","0314","Sewer Fund","3","Office of Inspector General","2005","Office of Inspector General","0005","Salaries and Wages - on Payroll","$807,013.00"
"LOCAL","0314","Sewer Fund","3","Office of Inspector General","2005","Office of Inspector General","0015","Schedule Salary Adjustments","$19,811.00"
"LOCAL","0314","Sewer Fund","3","Office of Inspector General","2005","Office of Inspector General","0130","Postage","$126.00"
"LOCAL","0314","Sewer Fund","3","Office of Inspector General","2005","Office of Inspector General","0140","For Professional and Technical Services and Other Third Party Benefit Agreements","$1,241.00"
"LOCAL","0314","Sewer Fund","3","Office of Inspector General","2005","Office of Inspector General","0143","Court Reporting","$9,808.00"
"LOCAL","0314","Sewer Fund","3","Office of Inspector General","2005","Office of Inspector General","0149","For Software Maintenance and Licensing","$27,806.00"
"LOCAL","0314","Sewer Fund","3","Office of Inspector General","2005","Office of Inspector General","0157","Rental of Equipment and Services","$7,519.00"
"LOCAL","0314","Sewer Fund","3","Office of Inspector General","2005","Office of Inspector General","0159","Lease Purchase Agreements for Equipment and Machinery","$601.00"
"LOCAL","0314","Sewer Fund","3","Office of Inspector General","2005","Office of Inspector General","0162","Repair/Maintenance of Equipment","$54.00"
"LOCAL","0314","Sewer Fund","3","Office of Inspector General","2005","Office of Inspector General","0166","Dues, Subscriptions and Memberships","$1,761.00"
"LOCAL","0314","Sewer Fund","3","Office of Inspector General","2005","Office of Inspector General","0169","Technical Meeting Costs","$14,836.00"
"LOCAL","0314","Sewer Fund","3","Office of Inspector General","2005","Office of Inspector General","0181","Mobile Communication Services","$1,807.00"
"LOCAL","0314","Sewer Fund","3","Office of Inspector General","2005","Office of Inspector General","0189","Telephone - Non-Centrex Billings","$4,162.00"
"LOCAL","0314","Sewer Fund","3","Office of Inspector General","2005","Office of Inspector General","0245","Reimbursement to Travelers","$1,900.00"
"LOCAL","0314","Sewer Fund","3","Office of Inspector General","2005","Office of Inspector General","0270","Local Transportation","$320.00"
"LOCAL","0314","Sewer Fund","3","Office of Inspector General","2005","Office of Inspector General","0320","Gasoline","$391.00"
"LOCAL","0314","Sewer Fund","3","Office of Inspector General","2005","Office of Inspector General","0340","Material and Supplies","$253.00"
"LOCAL","0314","Sewer Fund","3","Office of Inspector General","2005","Office of Inspector General","0348","Books and Related Material","$235.00"
"LOCAL","0314","Sewer Fund","3","Office of Inspector General","2005","Office of Inspector General","0350","Stationery and Office Supplies","$863.00"
"LOCAL","0314","Sewer Fund","3","Office of Inspector General","2005","Office of Inspector General","0700","Contingencies","$1,725.00"
"LOCAL","0610","Chicago Midway Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0005","Salaries and Wages - on Payroll","$221,300.00"
"LOCAL","0610","Chicago Midway Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0015","Schedule Salary Adjustments","$9,322.00"
"LOCAL","0610","Chicago Midway Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0130","Postage","$51.00"
"LOCAL","0610","Chicago Midway Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0140","For Professional and Technical Services and Other Third Party Benefit Agreements","$827.00"
"LOCAL","0610","Chicago Midway Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0143","Court Reporting","$6,538.00"
"LOCAL","0610","Chicago Midway Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0149","For Software Maintenance and Licensing","$14,006.00"
"LOCAL","0610","Chicago Midway Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0157","Rental of Equipment and Services","$5,015.00"
"LOCAL","0610","Chicago Midway Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0159","Lease Purchase Agreements for Equipment and Machinery","$254.00"
"LOCAL","0610","Chicago Midway Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0166","Dues, Subscriptions and Memberships","$820.00"
"LOCAL","0610","Chicago Midway Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0169","Technical Meeting Costs","$6,358.00"
"LOCAL","0610","Chicago Midway Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0181","Mobile Communication Services","$816.00"
"LOCAL","0610","Chicago Midway Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0189","Telephone - Non-Centrex Billings","$1,969.00"
"LOCAL","0610","Chicago Midway Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0245","Reimbursement to Travelers","$895.00"
"LOCAL","0610","Chicago Midway Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0270","Local Transportation","$130.00"
"LOCAL","0610","Chicago Midway Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0320","Gasoline","$259.00"
"LOCAL","0610","Chicago Midway Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0340","Material and Supplies","$105.00"
"LOCAL","0610","Chicago Midway Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0348","Books and Related Material","$22.00"
"LOCAL","0610","Chicago Midway Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0350","Stationery and Office Supplies","$360.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0005","Salaries and Wages - on Payroll","$1,206,720.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0015","Schedule Salary Adjustments","$22,204.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0130","Postage","$175.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0140","For Professional and Technical Services and Other Third Party Benefit Agreements","$2,035.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0143","Court Reporting","$16,346.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0149","For Software Maintenance and Licensing","$34,016.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0157","Rental of Equipment and Services","$13,181.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0159","Lease Purchase Agreements for Equipment and Machinery","$1,109.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0162","Repair/Maintenance of Equipment","$65.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0166","Dues, Subscriptions and Memberships","$3,941.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0169","Technical Meeting Costs","$25,433.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0181","Mobile Communication Services","$2,508.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0189","Telephone - Non-Centrex Billings","$7,589.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0245","Reimbursement to Travelers","$3,425.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0270","Local Transportation","$560.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0320","Gasoline","$649.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0340","Material and Supplies","$491.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0348","Books and Related Material","$218.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0350","Stationery and Office Supplies","$1,457.00"
"LOCAL","0100","Corporate Fund","5","Office of Budget and Management","2005","Office of Budget and Management","0005","Salaries and Wages - on Payroll","$3,888,086.00"
"LOCAL","0100","Corporate Fund","5","Office of Budget and Management","2005","Office of Budget and Management","0015","Schedule Salary Adjustments","$78,712.00"
"LOCAL","0100","Corporate Fund","5","Office of Budget and Management","2005","Office of Budget and Management","0130","Postage","$200.00"
"LOCAL","0100","Corporate Fund","5","Office of Budget and Management","2005","Office of Budget and Management","0140","For Professional and Technical Services and Other Third Party Benefit Agreements","$24,500.00"
"LOCAL","0100","Corporate Fund","5","Office of Budget and Management","2005","Office of Budget and Management","0152","Advertising","$500.00"
"LOCAL","0100","Corporate Fund","5","Office of Budget and Management","2005","Office of Budget and Management","0157","Rental of Equipment and Services","$8,000.00"
"LOCAL","0100","Corporate Fund","5","Office of Budget and Management","2005","Office of Budget and Management","0166","Dues, Subscriptions and Memberships","$1,728.00"
"LOCAL","0100","Corporate Fund","5","Office of Budget and Management","2005","Office of Budget and Management","0245","Reimbursement to Travelers","$9,400.00"
"LOCAL","0100","Corporate Fund","5","Office of Budget and Management","2005","Office of Budget and Management","0270","Local Transportation","$600.00"
"LOCAL","0100","Corporate Fund","5","Office of Budget and Management","2005","Office of Budget and Management","0348","Books and Related Material","$200.00"
"LOCAL","0100","Corporate Fund","5","Office of Budget and Management","2005","Office of Budget and Management","0350","Stationery and Office Supplies","$5,400.00"
"LOCAL","0200","Water Fund","5","Office of Budget and Management","2005","Office of Budget and Management","0005","Salaries and Wages - on Payroll","$287,694.00"
"LOCAL","0200","Water Fund","5","Office of Budget and Management","2005","Office of Budget and Management","0015","Schedule Salary Adjustments","$9,534.00"
"LOCAL","0200","Water Fund","5","Office of Budget and Management","2005","Office of Budget and Management","0140","For Professional and Technical Services and Other Third Party Benefit Agreements","$1,000.00"
"LOCAL","0B21","Tax Increment Financing Administration Fund","5","Office of Budget and Management","2005","Office of Budget and Management","0005","Salaries and Wages - on Payroll","$291,500.00"
"LOCAL","0B21","Tax Increment Financing Administration Fund","5","Office of Budget and Management","2005","Office of Budget and Management","0015","Schedule Salary Adjustments","$5,542.00"
"LOCAL","0B21","Tax Increment Financing Administration Fund","5","Office of Budget and Management","2005","Office of Budget and Management","0140","For Professional and Technical Services and Other Third Party Benefit Agreements","$1,500.00"
"LOCAL","0100","Corporate Fund","6","Department of Technology and Innovation","2150","Bureau of Centralized Information Technology","0005","Salaries and Wages - on Payroll","$9,939,828.00"
"LOCAL","0100","Corporate Fund","6","Department of Technology and Innovation","2150","Bureau of Centralized Information Technology","0015","Schedule Salary Adjustments","$206,062.00"
"LOCAL","0100","Corporate Fund","6","Department of Technology and Innovation","2150","Bureau of Centralized Information Technology","0091","Uniform Allowance","$10,000.00"
"LOCAL","0100","Corporate Fund","6","Department of Technology and Innovation","2150","Bureau of Centralized Information Technology","0138","For Professional Services for Information Technology Maintenance","$5,864,901.00"
"LOCAL","0100","Corporate Fund","6","Department of Technology and Innovation","2150","Bureau of Centralized Information Technology","0140","For Professional and Technical Services and Other Third Party Benefit Agreements","$777,846.00"
"LOCAL","0100","Corporate Fund","6","Department of Technology and Innovation","2150","Bureau of Centralized Information Technology","0149","For Software Maintenance and Licensing","$15,889,227.00"
"LOCAL","0100","Corporate Fund","6","Department of Technology and Innovation","2150","Bureau of Centralized Information Technology","0162","Repair/Maintenance of Equipment","$2,956,203.00"
"LOCAL","0100","Corporate Fund","6","Department of Technology and Innovation","2150","Bureau of Centralized Information Technology","0166","Dues, Subscriptions and Memberships","$1,001,856.00"
"LOCAL","0100","Corporate Fund","6","Department of Technology and Innovation","2150","Bureau of Centralized Information Technology","0169","Technical Meeting Costs","$71,700.00"
"LOCAL","0100","Corporate Fund","6","Department of Technology and Innovation","2150","Bureau of Centralized Information Technology","0181","Mobile Communication Services","$1,755,320.00"
"LOCAL","0100","Corporate Fund","6","Department of Technology and Innovation","2150","Bureau of Centralized Information Technology","0188","Vehicle Tracking Service","$1,322,051.00"
"LOCAL","0100","Corporate Fund","6","Department of Technology and Innovation","2150","Bureau of Centralized Information Technology","0189","Telephone - Non-Centrex Billings","$205,403.00"
"LOCAL","0100","Corporate Fund","6","Department of Technology and Innovation","2150","Bureau of Centralized Information Technology","0190","Telephone - Centrex Billings","$1,949,219.00"
"LOCAL","0100","Corporate Fund","6","Department of Technology and Innovation","2150","Bureau of Centralized Information Technology","0196","Data Circuits","$1,410,419.00"
"LOCAL","0100","Corporate Fund","6","Department of Technology and Innovation","2150","Bureau of Centralized Information Technology","0197","Telephone - Maintenance and Repair of Equipment and Voicemail","$225,773.00"
"LOCAL","0100","Corporate Fund","6","Department of Technology and Innovation","2150","Bureau of Centralized Information Technology","0340","Material and Supplies","$10,000.00"
"LOCAL","0100","Corporate Fund","6","Department of Technology and Innovation","2150","Bureau of Centralized Information Technology","0350","Stationery and Office Supplies","$15,000.00"
"LOCAL","0200","Water Fund","6","Department of Technology and Innovation","2150","Bureau of Centralized Information Technology","0138","For Professional Services for Information Technology Maintenance","$2,571,403.00"
"LOCAL","0200","Water Fund","6","Department of Technology and Innovation","2150","Bureau of Centralized Information Technology","0139","For Professional Services for Information Technology Development","$618,000.00"
"LOCAL","0200","Water Fund","6","Department of Technology and Innovation","2150","Bureau of Centralized Information Technology","0140","For Professional and Technical Services and Other Third Party Benefit Agreements","$5,768,046.00"
"LOCAL","0200","Water Fund","6","Department of Technology and Innovation","2150","Bureau of Centralized Information Technology","0149","For Software Maintenance and Licensing","$882,393.00"
"LOCAL","0200","Water Fund","6","Department of Technology and Innovation","2150","Bureau of Centralized Information Technology","0162","Repair/Maintenance of Equipment","$187,419.00"
"LOCAL","0200","Water Fund","6","Department of Technology and Innovation","2150","Bureau of Centralized Information Technology","0166","Dues, Subscriptions and Memberships","$2,907.00"
"LOCAL","0200","Water Fund","6","Department of Technology and Innovation","2150","Bureau of Centralized Information Technology","0181","Mobile Communication Services","$111,284.00"
"LOCAL","0200","Water Fund","6","Department of Technology and Innovation","2150","Bureau of Centralized Information Technology","0188","Vehicle Tracking Service","$83,816.00"
"LOCAL","0200","Water Fund","6","Department of Technology and Innovation","2150","Bureau of Centralized Information Technology","0189","Telephone - Non-Centrex Billings","$13,022.00"
"LOCAL","0200","Water Fund","6","Department of Technology and Innovation","2150","Bureau of Centralized Information Technology","0190","Telephone - Centrex Billings","$123,577.00"
"LOCAL","0200","Water Fund","6","Department of Technology and Innovation","2150","Bureau of Centralized Information Technology","0196","Data Circuits","$89,418.00"
"LOCAL","0100","Corporate Fund","15","City Council","2324","24th Ward Council Office","0000","Personnel Services","$309,000.00"
"LOCAL","0200","Water Fund","6","Department of Technology and Innovation","2150","Bureau of Centralized Information Technology","0197","Telephone - Maintenance and Repair of Equipment and Voicemail","$14,314.00"
"LOCAL","0300","Vehicle Tax Fund","6","Department of Technology and Innovation","2150","Bureau of Centralized Information Technology","0138","For Professional Services for Information Technology Maintenance","$132,382.00"
"LOCAL","0300","Vehicle Tax Fund","6","Department of Technology and Innovation","2150","Bureau of Centralized Information Technology","0140","For Professional and Technical Services and Other Third Party Benefit Agreements","$6,603.00"
"LOCAL","0300","Vehicle Tax Fund","6","Department of Technology and Innovation","2150","Bureau of Centralized Information Technology","0149","For Software Maintenance and Licensing","$402,467.00"
"LOCAL","0300","Vehicle Tax Fund","6","Department of Technology and Innovation","2150","Bureau of Centralized Information Technology","0162","Repair/Maintenance of Equipment","$109,766.00"
"LOCAL","0300","Vehicle Tax Fund","6","Department of Technology and Innovation","2150","Bureau of Centralized Information Technology","0166","Dues, Subscriptions and Memberships","$1,703.00"
"LOCAL","0300","Vehicle Tax Fund","6","Department of Technology and Innovation","2150","Bureau of Centralized Information Technology","0181","Mobile Communication Services","$65,176.00"
"LOCAL","0300","Vehicle Tax Fund","6","Department of Technology and Innovation","2150","Bureau of Centralized Information Technology","0188","Vehicle Tracking Service","$49,088.00"
"LOCAL","0300","Vehicle Tax Fund","6","Department of Technology and Innovation","2150","Bureau of Centralized Information Technology","0189","Telephone - Non-Centrex Billings","$7,627.00"
"LOCAL","0300","Vehicle Tax Fund","6","Department of Technology and Innovation","2150","Bureau of Centralized Information Technology","0190","Telephone - Centrex Billings","$72,375.00"
"LOCAL","0300","Vehicle Tax Fund","6","Department of Technology and Innovation","2150","Bureau of Centralized Information Technology","0196","Data Circuits","$52,369.00"
"LOCAL","0300","Vehicle Tax Fund","6","Department of Technology and Innovation","2150","Bureau of Centralized Information Technology","0197","Telephone - Maintenance and Repair of Equipment and Voicemail","$8,383.00"
"LOCAL","0314","Sewer Fund","6","Department of Technology and Innovation","2150","Bureau of Centralized Information Technology","0138","For Professional Services for Information Technology Maintenance","$70,829.00"
"LOCAL","0314","Sewer Fund","6","Department of Technology and Innovation","2150","Bureau of Centralized Information Technology","0140","For Professional and Technical Services and Other Third Party Benefit Agreements","$3,533.00"
"LOCAL","0314","Sewer Fund","6","Department of Technology and Innovation","2150","Bureau of Centralized Information Technology","0149","For Software Maintenance and Licensing","$226,270.00"
"LOCAL","0314","Sewer Fund","6","Department of Technology and Innovation","2150","Bureau of Centralized Information Technology","0162","Repair/Maintenance of Equipment","$58,729.00"
"LOCAL","0314","Sewer Fund","6","Department of Technology and Innovation","2150","Bureau of Centralized Information Technology","0166","Dues, Subscriptions and Memberships","$911.00"
"LOCAL","0314","Sewer Fund","6","Department of Technology and Innovation","2150","Bureau of Centralized Information Technology","0188","Vehicle Tracking Service","$26,264.00"
"LOCAL","0314","Sewer Fund","6","Department of Technology and Innovation","2150","Bureau of Centralized Information Technology","0190","Telephone - Centrex Billings","$38,724.00"
"LOCAL","0314","Sewer Fund","6","Department of Technology and Innovation","2150","Bureau of Centralized Information Technology","0196","Data Circuits","$28,020.00"
"LOCAL","0346","Library Fund","6","Department of Technology and Innovation","2150","Bureau of Centralized Information Technology","0181","Mobile Communication Services","$60,133.00"
"LOCAL","0346","Library Fund","6","Department of Technology and Innovation","2150","Bureau of Centralized Information Technology","0188","Vehicle Tracking Service","$46,740.00"
"LOCAL","0346","Library Fund","6","Department of Technology and Innovation","2150","Bureau of Centralized Information Technology","0189","Telephone - Non-Centrex Billings","$7,262.00"
"LOCAL","0346","Library Fund","6","Department of Technology and Innovation","2150","Bureau of Centralized Information Technology","0190","Telephone - Centrex Billings","$68,913.00"
"LOCAL","0346","Library Fund","6","Department of Technology and Innovation","2150","Bureau of Centralized Information Technology","0197","Telephone - Maintenance and Repair of Equipment and Voicemail","$7,982.00"
"LOCAL","0355","Special Events and Municipal Hotel Operators' Occupation Tax Fund","6","Department of Technology and Innovation","2150","Bureau of Centralized Information Technology","0181","Mobile Communication Services","$5,971.00"
"LOCAL","0355","Special Events and Municipal Hotel Operators' Occupation Tax Fund","6","Department of Technology and Innovation","2150","Bureau of Centralized Information Technology","0188","Vehicle Tracking Service","$4,641.00"
"LOCAL","0355","Special Events and Municipal Hotel Operators' Occupation Tax Fund","6","Department of Technology and Innovation","2150","Bureau of Centralized Information Technology","0189","Telephone - Non-Centrex Billings","$721.00"
"LOCAL","0355","Special Events and Municipal Hotel Operators' Occupation Tax Fund","6","Department of Technology and Innovation","2150","Bureau of Centralized Information Technology","0190","Telephone - Centrex Billings","$6,843.00"
