"FUND TYPE","FUND CODE","FUND DESCRIPTION","DEPARTMENT NUMBER","DEPARTMENT DESCRIPTION","APPROPRIATION AUTHORITY","APPROPRIATION AUTHORITY DESCRIPTION","APPROPRIATION ACCOUNT","APPROPRIATION ACCOUNT DESCRIPTION","2024 ORDINANCE (AMOUNT $)"
"LOCAL","0100","Corporate Fund","1","Office of the Mayor","2005","Office of the Mayor","0005","Salaries and Wages - on Payroll","$11,370,347.00"
"LOCAL","0100","Corporate Fund","1","Office of the Mayor","2005","Office of the Mayor","0039","For the Employment of Students as Trainees","$249,060.00"
"LOCAL","0100","Corporate Fund","1","Office of the Mayor","2005","Office of the Mayor","0126","Office Conveniences","$1,600.00"
"LOCAL","0100","Corporate Fund","1","Office of the Mayor","2005","Office of the Mayor","0130","Postage","$5,500.00"
"LOCAL","0100","Corporate Fund","1","Office of the Mayor","2005","Office of the Mayor","0140","For Professional and Technical Services and Other Third Party Benefit Agreements","$20,000.00"
"LOCAL","0100","Corporate Fund","1","Office of the Mayor","2005","Office of the Mayor","0149","For Software Maintenance and Licensing","$2,500.00"
"LOCAL","0100","Corporate Fund","1","Office of the Mayor","2005","Office of the Mayor","0150","Publications and Reproduction - Outside Services.  To Be Expended with the Prior Approval of Graphics Services","$1,600.00"
"LOCAL","0100","Corporate Fund","1","Office of the Mayor","2005","Office of the Mayor","0157","Rental of Equipment and Services","$46,000.00"
"LOCAL","0100","Corporate Fund","1","Office of the Mayor","2005","Office of the Mayor","0159","Lease Purchase Agreements for Equipment and Machinery","$52,000.00"
"LOCAL","0100","Corporate Fund","1","Office of the Mayor","2005","Office of the Mayor","0162","Repair/Maintenance of Equipment","$6,984.00"
"LOCAL","0100","Corporate Fund","1","Office of the Mayor","2005","Office of the Mayor","0166","Dues, Subscriptions and Memberships","$248,023.00"
"LOCAL","0100","Corporate Fund","1","Office of the Mayor","2005","Office of the Mayor","0169","Technical Meeting Costs","$6,000.00"
"LOCAL","0100","Corporate Fund","1","Office of the Mayor","2005","Office of the Mayor","0229","Transportation and Expense Allowance","$1,000.00"
"LOCAL","0100","Corporate Fund","1","Office of the Mayor","2005","Office of the Mayor","0245","Reimbursement to Travelers","$100,000.00"
"LOCAL","0100","Corporate Fund","1","Office of the Mayor","2005","Office of the Mayor","0270","Local Transportation","$3,000.00"
"LOCAL","0100","Corporate Fund","1","Office of the Mayor","2005","Office of the Mayor","0350","Stationery and Office Supplies","$30,000.00"
"LOCAL","0100","Corporate Fund","1","Office of the Mayor","2005","Office of the Mayor","9121","For Payment of Costs Associated with Lobbyist Activities on Behalf of the City of Chicago","$200,000.00"
"LOCAL","0355","Special Events and Municipal Hotel Operators' Occupation Tax Fund","1","Office of the Mayor","2005","Office of the Mayor","0005","Salaries and Wages - on Payroll","$417,673.00"
"LOCAL","0B70","Cannabis Regulation Tax","1","Office of the Mayor","2005","Office of the Mayor","0005","Salaries and Wages - on Payroll","$428,424.00"
"LOCAL","0B70","Cannabis Regulation Tax","1","Office of the Mayor","2005","Office of the Mayor","0135","For Delegate Agencies","$4,674,488.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0005","Salaries and Wages - on Payroll","$8,138,933.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0015","Schedule Salary Adjustments","$157,957.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0020","Overtime","$3,000.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0130","Postage","$2,083.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0138","For Professional Services for Information Technology Maintenance","$121,349.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0140","For Professional and Technical Services and Other Third Party Benefit Agreements","$348,253.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0143","Court Reporting","$52,500.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0149","For Software Maintenance and Licensing","$928,276.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0150","Publications and Reproduction - Outside Services.  To Be Expended with the Prior Approval of Graphics Services","$6,000.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0152","Advertising","$5,000.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0157","Rental of Equipment and Services","$48,779.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0159","Lease Purchase Agreements for Equipment and Machinery","$129,501.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0162","Repair/Maintenance of Equipment","$1,000.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0166","Dues, Subscriptions and Memberships","$16,197.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0169","Technical Meeting Costs","$145,600.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0181","Mobile Communication Services","$29,929.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0189","Telephone - Non-Centrex Billings","$64,969.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0245","Reimbursement to Travelers","$12,310.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0270","Local Transportation","$31,277.00"
