"FUND TYPE","FUND CODE","FUND DESCRIPTION","DEPARTMENT NUMBER","DEPARTMENT DESCRIPTION","APPROPRIATION AUTHORITY","APPROPRIATION AUTHORITY DESCRIPTION","APPROPRIATION ACCOUNT","APPROPRIATION ACCOUNT DESCRIPTION","2024 ORDINANCE (AMOUNT $)"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0320","Gasoline","$2,506.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0340","Material and Supplies","$5,423.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0348","Books and Related Material","$1,273.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0350","Stationery and Office Supplies","$27,844.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0446","For the Purchase of IT and Data Communication Hardware","$88,477.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","0700","Contingencies","$97,060.00"
"LOCAL","0100","Corporate Fund","3","Office of Inspector General","2005","Office of Inspector General","9438","For Services Provided by the Department of Fleet and Facilities Management","$2,000.00"
"LOCAL","0200","Water Fund","3","Office of Inspector General","2005","Office of Inspector General","0005","Salaries and Wages - on Payroll","$1,213,850.00"
"LOCAL","0200","Water Fund","3","Office of Inspector General","2005","Office of Inspector General","0015","Schedule Salary Adjustments","$46,761.00"
"LOCAL","0200","Water Fund","3","Office of Inspector General","2005","Office of Inspector General","0130","Postage","$251.00"
"LOCAL","0200","Water Fund","3","Office of Inspector General","2005","Office of Inspector General","0140","For Professional and Technical Services and Other Third Party Benefit Agreements","$1,268.00"
"LOCAL","0200","Water Fund","3","Office of Inspector General","2005","Office of Inspector General","0143","Court Reporting","$9,808.00"
"LOCAL","0200","Water Fund","3","Office of Inspector General","2005","Office of Inspector General","0149","For Software Maintenance and Licensing","$43,980.00"
"LOCAL","0200","Water Fund","3","Office of Inspector General","2005","Office of Inspector General","0157","Rental of Equipment and Services","$7,307.00"
"LOCAL","0200","Water Fund","3","Office of Inspector General","2005","Office of Inspector General","0159","Lease Purchase Agreements for Equipment and Machinery","$1,295.00"
"LOCAL","0200","Water Fund","3","Office of Inspector General","2005","Office of Inspector General","0162","Repair/Maintenance of Equipment","$1,632.00"
"LOCAL","0200","Water Fund","3","Office of Inspector General","2005","Office of Inspector General","0166","Dues, Subscriptions and Memberships","$3,179.00"
"LOCAL","0200","Water Fund","3","Office of Inspector General","2005","Office of Inspector General","0169","Technical Meeting Costs","$19,200.00"
"LOCAL","0200","Water Fund","3","Office of Inspector General","2005","Office of Inspector General","0181","Mobile Communication Services","$3,900.00"
"LOCAL","0200","Water Fund","3","Office of Inspector General","2005","Office of Inspector General","0189","Telephone - Non-Centrex Billings","$8,103.00"
"LOCAL","0200","Water Fund","3","Office of Inspector General","2005","Office of Inspector General","0245","Reimbursement to Travelers","$1,124.00"
"LOCAL","0200","Water Fund","3","Office of Inspector General","2005","Office of Inspector General","0270","Local Transportation","$692.00"
"LOCAL","0200","Water Fund","3","Office of Inspector General","2005","Office of Inspector General","0320","Gasoline","$386.00"
"LOCAL","0200","Water Fund","3","Office of Inspector General","2005","Office of Inspector General","0340","Material and Supplies","$820.00"
"LOCAL","0200","Water Fund","3","Office of Inspector General","2005","Office of Inspector General","0348","Books and Related Material","$288.00"
"LOCAL","0200","Water Fund","3","Office of Inspector General","2005","Office of Inspector General","0350","Stationery and Office Supplies","$3,865.00"
"LOCAL","0200","Water Fund","3","Office of Inspector General","2005","Office of Inspector General","0700","Contingencies","$1,215.00"
"LOCAL","0314","Sewer Fund","3","Office of Inspector General","2005","Office of Inspector General","0005","Salaries and Wages - on Payroll","$753,923.00"
"LOCAL","0314","Sewer Fund","3","Office of Inspector General","2005","Office of Inspector General","0015","Schedule Salary Adjustments","$29,883.00"
"LOCAL","0314","Sewer Fund","3","Office of Inspector General","2005","Office of Inspector General","0130","Postage","$142.00"
"LOCAL","0314","Sewer Fund","3","Office of Inspector General","2005","Office of Inspector General","0140","For Professional and Technical Services and Other Third Party Benefit Agreements","$1,269.00"
"LOCAL","0314","Sewer Fund","3","Office of Inspector General","2005","Office of Inspector General","0143","Court Reporting","$9,808.00"
"LOCAL","0314","Sewer Fund","3","Office of Inspector General","2005","Office of Inspector General","0149","For Software Maintenance and Licensing","$27,715.00"
"LOCAL","0314","Sewer Fund","3","Office of Inspector General","2005","Office of Inspector General","0157","Rental of Equipment and Services","$5,813.00"
"LOCAL","0314","Sewer Fund","3","Office of Inspector General","2005","Office of Inspector General","0159","Lease Purchase Agreements for Equipment and Machinery","$601.00"
"LOCAL","0314","Sewer Fund","3","Office of Inspector General","2005","Office of Inspector General","0162","Repair/Maintenance of Equipment","$54.00"
"LOCAL","0314","Sewer Fund","3","Office of Inspector General","2005","Office of Inspector General","0166","Dues, Subscriptions and Memberships","$1,384.00"
"LOCAL","0314","Sewer Fund","3","Office of Inspector General","2005","Office of Inspector General","0169","Technical Meeting Costs","$11,200.00"
"LOCAL","0314","Sewer Fund","3","Office of Inspector General","2005","Office of Inspector General","0181","Mobile Communication Services","$2,373.00"
"LOCAL","0314","Sewer Fund","3","Office of Inspector General","2005","Office of Inspector General","0189","Telephone - Non-Centrex Billings","$3,277.00"
"LOCAL","0314","Sewer Fund","3","Office of Inspector General","2005","Office of Inspector General","0245","Reimbursement to Travelers","$883.00"
"LOCAL","0314","Sewer Fund","3","Office of Inspector General","2005","Office of Inspector General","0270","Local Transportation","$428.00"
"LOCAL","0314","Sewer Fund","3","Office of Inspector General","2005","Office of Inspector General","0320","Gasoline","$386.00"
"LOCAL","0314","Sewer Fund","3","Office of Inspector General","2005","Office of Inspector General","0340","Material and Supplies","$326.00"
"LOCAL","0314","Sewer Fund","3","Office of Inspector General","2005","Office of Inspector General","0348","Books and Related Material","$173.00"
"LOCAL","0314","Sewer Fund","3","Office of Inspector General","2005","Office of Inspector General","0350","Stationery and Office Supplies","$1,225.00"
"LOCAL","0314","Sewer Fund","3","Office of Inspector General","2005","Office of Inspector General","0700","Contingencies","$1,725.00"
"LOCAL","0610","Chicago Midway Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0005","Salaries and Wages - on Payroll","$220,356.00"
"LOCAL","0610","Chicago Midway Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0015","Schedule Salary Adjustments","$2,156.00"
"LOCAL","0610","Chicago Midway Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0130","Postage","$58.00"
"LOCAL","0610","Chicago Midway Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0140","For Professional and Technical Services and Other Third Party Benefit Agreements","$847.00"
"LOCAL","0610","Chicago Midway Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0143","Court Reporting","$6,538.00"
"LOCAL","0610","Chicago Midway Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0149","For Software Maintenance and Licensing","$13,883.00"
"LOCAL","0610","Chicago Midway Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0157","Rental of Equipment and Services","$3,876.00"
"LOCAL","0610","Chicago Midway Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0159","Lease Purchase Agreements for Equipment and Machinery","$254.00"
"LOCAL","0610","Chicago Midway Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0166","Dues, Subscriptions and Memberships","$643.00"
"LOCAL","0610","Chicago Midway Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0169","Technical Meeting Costs","$4,800.00"
"LOCAL","0610","Chicago Midway Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0181","Mobile Communication Services","$1,071.00"
"LOCAL","0610","Chicago Midway Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0189","Telephone - Non-Centrex Billings","$1,552.00"
"LOCAL","0610","Chicago Midway Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0245","Reimbursement to Travelers","$416.00"
"LOCAL","0610","Chicago Midway Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0270","Local Transportation","$170.00"
"LOCAL","0610","Chicago Midway Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0320","Gasoline","$257.00"
"LOCAL","0610","Chicago Midway Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0340","Material and Supplies","$135.00"
"LOCAL","0610","Chicago Midway Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0348","Books and Related Material","$16.00"
"LOCAL","0610","Chicago Midway Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0350","Stationery and Office Supplies","$512.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0005","Salaries and Wages - on Payroll","$1,156,891.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0015","Schedule Salary Adjustments","$11,337.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0130","Postage","$198.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0140","For Professional and Technical Services and Other Third Party Benefit Agreements","$2,116.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0143","Court Reporting","$16,346.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0149","For Software Maintenance and Licensing","$33,846.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0157","Rental of Equipment and Services","$10,187.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0159","Lease Purchase Agreements for Equipment and Machinery","$1,109.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0162","Repair/Maintenance of Equipment","$65.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0166","Dues, Subscriptions and Memberships","$3,092.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0169","Technical Meeting Costs","$19,200.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0181","Mobile Communication Services","$3,295.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0189","Telephone - Non-Centrex Billings","$5,983.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0245","Reimbursement to Travelers","$1,592.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0270","Local Transportation","$745.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0320","Gasoline","$642.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0340","Material and Supplies","$632.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0348","Books and Related Material","$160.00"
"LOCAL","0740","Chicago O'Hare Airport Fund","3","Office of Inspector General","2005","Office of Inspector General","0350","Stationery and Office Supplies","$2,065.00"
"LOCAL","0100","Corporate Fund","5","Office of Budget and Management","2005","Office of Budget and Management","0005","Salaries and Wages - on Payroll","$3,759,517.00"
"LOCAL","0100","Corporate Fund","5","Office of Budget and Management","2005","Office of Budget and Management","0015","Schedule Salary Adjustments","$87,935.00"
"LOCAL","0100","Corporate Fund","5","Office of Budget and Management","2005","Office of Budget and Management","0039","For the Employment of Students as Trainees","$37,500.00"
"LOCAL","0100","Corporate Fund","5","Office of Budget and Management","2005","Office of Budget and Management","0130","Postage","$1,500.00"
"LOCAL","0100","Corporate Fund","5","Office of Budget and Management","2005","Office of Budget and Management","0140","For Professional and Technical Services and Other Third Party Benefit Agreements","$24,500.00"
"LOCAL","0100","Corporate Fund","5","Office of Budget and Management","2005","Office of Budget and Management","0152","Advertising","$1,000.00"
"LOCAL","0100","Corporate Fund","5","Office of Budget and Management","2005","Office of Budget and Management","0157","Rental of Equipment and Services","$8,000.00"
"LOCAL","0100","Corporate Fund","5","Office of Budget and Management","2005","Office of Budget and Management","0166","Dues, Subscriptions and Memberships","$2,000.00"
"LOCAL","0100","Corporate Fund","5","Office of Budget and Management","2005","Office of Budget and Management","0169","Technical Meeting Costs","$1,000.00"
"LOCAL","0100","Corporate Fund","5","Office of Budget and Management","2005","Office of Budget and Management","0229","Transportation and Expense Allowance","$9,500.00"
"LOCAL","0100","Corporate Fund","5","Office of Budget and Management","2005","Office of Budget and Management","0270","Local Transportation","$500.00"
"LOCAL","0100","Corporate Fund","5","Office of Budget and Management","2005","Office of Budget and Management","0348","Books and Related Material","$200.00"
"LOCAL","0100","Corporate Fund","5","Office of Budget and Management","2005","Office of Budget and Management","0350","Stationery and Office Supplies","$5,400.00"
"LOCAL","0200","Water Fund","5","Office of Budget and Management","2005","Office of Budget and Management","0005","Salaries and Wages - on Payroll","$262,750.00"
"LOCAL","0200","Water Fund","5","Office of Budget and Management","2005","Office of Budget and Management","0015","Schedule Salary Adjustments","$14,567.00"
"LOCAL","0200","Water Fund","5","Office of Budget and Management","2005","Office of Budget and Management","0140","For Professional and Technical Services and Other Third Party Benefit Agreements","$1,000.00"
"LOCAL","0B21","Tax Increment Financing Administration Fund","5","Office of Budget and Management","2005","Office of Budget and Management","0005","Salaries and Wages - on Payroll","$302,500.00"
"LOCAL","0B21","Tax Increment Financing Administration Fund","5","Office of Budget and Management","2005","Office of Budget and Management","0015","Schedule Salary Adjustments","$8,783.00"
"LOCAL","0B21","Tax Increment Financing Administration Fund","5","Office of Budget and Management","2005","Office of Budget and Management","0140","For Professional and Technical Services and Other Third Party Benefit Agreements","$1,500.00"
"LOCAL","0100","Corporate Fund","6","Department of Technology and Innovation","2145","Bureau of Information Technology","0005","Salaries and Wages - on Payroll","$1,600,849.00"
"LOCAL","0100","Corporate Fund","6","Department of Technology and Innovation","2145","Bureau of Information Technology","0015","Schedule Salary Adjustments","$38,245.00"
"LOCAL","0100","Corporate Fund","6","Department of Technology and Innovation","2145","Bureau of Information Technology","0138","For Professional Services for Information Technology Maintenance","$4,641,709.00"
"LOCAL","0100","Corporate Fund","6","Department of Technology and Innovation","2145","Bureau of Information Technology","0140","For Professional and Technical Services and Other Third Party Benefit Agreements","$1,453,850.00"
"LOCAL","0100","Corporate Fund","6","Department of Technology and Innovation","2145","Bureau of Information Technology","0149","For Software Maintenance and Licensing","$14,321,643.00"
"LOCAL","0100","Corporate Fund","6","Department of Technology and Innovation","2145","Bureau of Information Technology","0162","Repair/Maintenance of Equipment","$1,919,995.00"
"LOCAL","0100","Corporate Fund","6","Department of Technology and Innovation","2145","Bureau of Information Technology","0166","Dues, Subscriptions and Memberships","$540,542.00"
"LOCAL","0100","Corporate Fund","6","Department of Technology and Innovation","2145","Bureau of Information Technology","0169","Technical Meeting Costs","$61,672.00"
"LOCAL","0100","Corporate Fund","6","Department of Technology and Innovation","2145","Bureau of Information Technology","0181","Mobile Communication Services","$1,380,668.00"
"LOCAL","0100","Corporate Fund","6","Department of Technology and Innovation","2145","Bureau of Information Technology","0188","Vehicle Tracking Service","$860,906.00"
"LOCAL","0100","Corporate Fund","6","Department of Technology and Innovation","2145","Bureau of Information Technology","0189","Telephone - Non-Centrex Billings","$109,397.00"
"LOCAL","0100","Corporate Fund","6","Department of Technology and Innovation","2145","Bureau of Information Technology","0190","Telephone - Centrex Billings","$1,864,730.00"
"LOCAL","0100","Corporate Fund","6","Department of Technology and Innovation","2145","Bureau of Information Technology","0196","Data Circuits","$1,010,516.00"
"LOCAL","0100","Corporate Fund","6","Department of Technology and Innovation","2145","Bureau of Information Technology","0197","Telephone - Maintenance and Repair of Equipment and Voicemail","$200,843.00"
"LOCAL","0100","Corporate Fund","6","Department of Technology and Innovation","2145","Bureau of Information Technology","0340","Material and Supplies","$10,000.00"
"LOCAL","0100","Corporate Fund","6","Department of Technology and Innovation","2145","Bureau of Information Technology","0348","Books and Related Material","$5,000.00"
"LOCAL","0100","Corporate Fund","6","Department of Technology and Innovation","2145","Bureau of Information Technology","0350","Stationery and Office Supplies","$15,000.00"
"LOCAL","0100","Corporate Fund","6","Department of Technology and Innovation","2150","Bureau of Centralized Information Technology","0005","Salaries and Wages - on Payroll","$11,462,481.00"
"LOCAL","0100","Corporate Fund","6","Department of Technology and Innovation","2150","Bureau of Centralized Information Technology","0015","Schedule Salary Adjustments","$1,512.00"
"LOCAL","0200","Water Fund","6","Department of Technology and Innovation","2145","Bureau of Information Technology","0138","For Professional Services for Information Technology Maintenance","$1,674,961.00"
"LOCAL","0200","Water Fund","6","Department of Technology and Innovation","2145","Bureau of Information Technology","0139","For Professional Services for Information Technology Development","$618,000.00"
"LOCAL","0200","Water Fund","6","Department of Technology and Innovation","2145","Bureau of Information Technology","0140","For Professional and Technical Services and Other Third Party Benefit Agreements","$5,805,732.00"
"LOCAL","0200","Water Fund","6","Department of Technology and Innovation","2145","Bureau of Information Technology","0149","For Software Maintenance and Licensing","$647,542.00"
"LOCAL","0200","Water Fund","6","Department of Technology and Innovation","2145","Bureau of Information Technology","0162","Repair/Maintenance of Equipment","$106,561.00"
"LOCAL","0200","Water Fund","6","Department of Technology and Innovation","2145","Bureau of Information Technology","0166","Dues, Subscriptions and Memberships","$1,874.00"
"LOCAL","0200","Water Fund","6","Department of Technology and Innovation","2145","Bureau of Information Technology","0181","Mobile Communication Services","$174,288.00"
"LOCAL","0200","Water Fund","6","Department of Technology and Innovation","2145","Bureau of Information Technology","0188","Vehicle Tracking Service","$262,255.00"
"LOCAL","0200","Water Fund","6","Department of Technology and Innovation","2145","Bureau of Information Technology","0189","Telephone - Non-Centrex Billings","$19,966.00"
"LOCAL","0200","Water Fund","6","Department of Technology and Innovation","2145","Bureau of Information Technology","0190","Telephone - Centrex Billings","$201,447.00"
"LOCAL","0200","Water Fund","6","Department of Technology and Innovation","2145","Bureau of Information Technology","0196","Data Circuits","$506,330.00"
"LOCAL","0200","Water Fund","6","Department of Technology and Innovation","2145","Bureau of Information Technology","0197","Telephone - Maintenance and Repair of Equipment and Voicemail","$30,925.00"
"LOCAL","0300","Vehicle Tax Fund","6","Department of Technology and Innovation","2145","Bureau of Information Technology","0138","For Professional Services for Information Technology Maintenance","$85,228.00"
"LOCAL","0300","Vehicle Tax Fund","6","Department of Technology and Innovation","2145","Bureau of Information Technology","0140","For Professional and Technical Services and Other Third Party Benefit Agreements","$30,713.00"
"LOCAL","0300","Vehicle Tax Fund","6","Department of Technology and Innovation","2145","Bureau of Information Technology","0149","For Software Maintenance and Licensing","$272,359.00"
"LOCAL","0300","Vehicle Tax Fund","6","Department of Technology and Innovation","2145","Bureau of Information Technology","0162","Repair/Maintenance of Equipment","$68,760.00"
"LOCAL","0300","Vehicle Tax Fund","6","Department of Technology and Innovation","2145","Bureau of Information Technology","0166","Dues, Subscriptions and Memberships","$1,209.00"
"LOCAL","0300","Vehicle Tax Fund","6","Department of Technology and Innovation","2145","Bureau of Information Technology","0181","Mobile Communication Services","$289,209.00"
"LOCAL","0300","Vehicle Tax Fund","6","Department of Technology and Innovation","2145","Bureau of Information Technology","0188","Vehicle Tracking Service","$88,065.00"
"LOCAL","0300","Vehicle Tax Fund","6","Department of Technology and Innovation","2145","Bureau of Information Technology","0189","Telephone - Non-Centrex Billings","$2,096.00"
"LOCAL","0300","Vehicle Tax Fund","6","Department of Technology and Innovation","2145","Bureau of Information Technology","0190","Telephone - Centrex Billings","$96,052.00"
"LOCAL","0300","Vehicle Tax Fund","6","Department of Technology and Innovation","2145","Bureau of Information Technology","0196","Data Circuits","$48,148.00"
"LOCAL","0300","Vehicle Tax Fund","6","Department of Technology and Innovation","2145","Bureau of Information Technology","0197","Telephone - Maintenance and Repair of Equipment and Voicemail","$7,712.00"
"LOCAL","0314","Sewer Fund","6","Department of Technology and Innovation","2145","Bureau of Information Technology","0138","For Professional Services for Information Technology Maintenance","$41,719.00"
"LOCAL","0314","Sewer Fund","6","Department of Technology and Innovation","2145","Bureau of Information Technology","0140","For Professional and Technical Services and Other Third Party Benefit Agreements","$15,033.00"
"LOCAL","0314","Sewer Fund","6","Department of Technology and Innovation","2145","Bureau of Information Technology","0149","For Software Maintenance and Licensing","$133,311.00"
"LOCAL","0314","Sewer Fund","6","Department of Technology and Innovation","2145","Bureau of Information Technology","0162","Repair/Maintenance of Equipment","$33,656.00"
"LOCAL","0314","Sewer Fund","6","Department of Technology and Innovation","2145","Bureau of Information Technology","0166","Dues, Subscriptions and Memberships","$592.00"
"LOCAL","0314","Sewer Fund","6","Department of Technology and Innovation","2145","Bureau of Information Technology","0188","Vehicle Tracking Service","$34,123.00"
"LOCAL","0314","Sewer Fund","6","Department of Technology and Innovation","2145","Bureau of Information Technology","0190","Telephone - Centrex Billings","$31,602.00"
"LOCAL","0314","Sewer Fund","6","Department of Technology and Innovation","2145","Bureau of Information Technology","0196","Data Circuits","$17,791.00"
"LOCAL","0346","Library Fund","6","Department of Technology and Innovation","2145","Bureau of Information Technology","0181","Mobile Communication Services","$4,344.00"
"LOCAL","0346","Library Fund","6","Department of Technology and Innovation","2145","Bureau of Information Technology","0188","Vehicle Tracking Service","$6,362.00"
"LOCAL","0346","Library Fund","6","Department of Technology and Innovation","2145","Bureau of Information Technology","0189","Telephone - Non-Centrex Billings","$65,539.00"
"LOCAL","0346","Library Fund","6","Department of Technology and Innovation","2145","Bureau of Information Technology","0190","Telephone - Centrex Billings","$249,000.00"
"LOCAL","0346","Library Fund","6","Department of Technology and Innovation","2145","Bureau of Information Technology","0197","Telephone - Maintenance and Repair of Equipment and Voicemail","$13,801.00"
"LOCAL","0355","Special Events and Municipal Hotel Operators' Occupation Tax Fund","6","Department of Technology and Innovation","2145","Bureau of Information Technology","0181","Mobile Communication Services","$9,694.00"
